ChEMBL_ID,SMILES,MW,LogP,HBD,HBA,TPSA,RotBonds,Rings,AtomCount,Lipinski,Veber,Ghose,Egan,PAINS,Brenk,Lipinski_Score,Veber_Score,Ghose_Score,Egan_Score,PAINS_Score,Brenk_Score,Quality_Score,Quality_Class
CHEMBL6933,Nc1ncnc2ccc(Sc3ccc4ccccc4c3)cc12,303.39000000000004,4.516400000000003,1,4,51.8,2,4,22,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL6329,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccccc1Cl,341.754,2.113619999999999,1,4,84.82,3,3,24,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL6328,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(C#N)cc1,332.3190000000001,1.3318999999999996,1,5,108.60999999999999,3,3,25,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL265667,Cc1cc(-n2ncc(=O)[nH]c2=O)cc(C)c1C(O)c1ccc(Cl)cc1,357.797,2.2727399999999998,2,4,87.98,3,3,25,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL6362,Cc1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2)cc1,307.309,1.4602199999999999,1,4,84.82,3,3,23,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL267864,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(Cl)cc1,341.754,2.113619999999999,1,4,84.82,3,3,24,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL6363,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccccc1,307.309,1.4602199999999996,1,4,84.82,3,3,23,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL6826,CN1Cc2c(C(=O)OCCC(C)(C)C)ncn2-c2ccc(Cl)cc2C1=O,375.8560000000001,3.7043000000000026,0,4,64.43,3,3,26,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL6655,CN1Cc2c(C(=O)OC(C)(C)C)ncn2-c2ccc(Br)cc2C1=O,392.2530000000001,3.1757000000000017,0,4,64.43,1,3,24,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL263077,COc1cc2nc(N3CCN(C(=O)CCc4ccccc4)CC3)nc(N)c2cc1OC,421.5010000000002,2.5106,1,7,93.81,6,4,31,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL6344,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(Cl)cc1Cl,376.19900000000007,2.7670200000000005,1,4,84.82,3,3,25,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL266732,Fc1ccccc1Cn1cnc2c(NC3CCC3)ncnc21,297.337,2.9781000000000013,1,4,55.63,4,4,22,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL6661,CC(C)(C)c1ccc(N2C(N)=NC(N)=NC2(C)C)cc1,273.38399999999996,2.1696,2,5,80.0,1,2,20,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL269704,CC1(C)N=C(N)N=C(N)N1c1cccc(OCc2ccc(Cl)c(Cl)c2)c1,392.2900000000001,3.757900000000001,2,6,89.22999999999999,4,3,26,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL7009,COC(=O)c1ncn2c1CN(C)C(=O)c1ccccc1-2,271.276,1.2445,0,4,64.43,1,3,20,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL266943,COC(=O)c1ncn2c1CN(C)C(=O)c1cc(Cl)ccc1-2,305.72100000000006,1.8979,0,4,64.43,1,3,21,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL263084,CN1CCN(c2nc3ccc(S(N)(=O)=O)cc3nc2Cl)CC1,341.82400000000007,0.6823999999999998,1,6,92.42,2,3,22,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL6452,C[C@@H](N)Cc1c2c(c(C(F)(F)F)c3c1OCC3)OCC2.Cl,323.742,2.8867000000000016,1,3,44.480000000000004,2,3,21,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL266088,FC(F)(F)c1ccc2nc(N3CCNCC3)cnc2c1,282.26899999999995,2.0582,1,4,41.050000000000004,1,3,20,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL415293,CN1Cc2c(C(=O)OC(C)(C)C)ncn2-c2ccc(Cl)cc2C1=O,347.80200000000013,3.066600000000002,0,4,64.43,1,3,24,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL414010,Cc1oc(-c2ccc(Cl)cc2)nc1COc1cccc(/C=C/C(C)n2oc(=O)[nH]c2=O)c1,453.8820000000001,4.599820000000004,1,6,103.25999999999999,7,4,32,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL427826,CC1(C)N=C(N)N=C(N)N1c1ccc(C(F)(F)F)cc1,285.273,1.8909000000000002,2,5,79.99999999999999,1,2,20,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL7298,CN1Cc2c(C(=O)OC(C)(C)C)ncn2-c2ccccc2C1=O,313.3570000000001,2.4132000000000007,0,4,64.43,1,3,23,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL268584,Nc1nc(N)c2cc(S(=O)(=O)c3ccc4ccccc4c3)ccc2n1,350.4030000000001,2.7802000000000007,2,6,111.96,2,4,25,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL268356,CCOC(=O)c1cccc(N2C(N)=NC(N)=NC2(C)C)c1,289.339,1.0487999999999997,2,7,106.3,3,2,21,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL6236,Cc1cc(-n2ncc(=O)[nH]c2=O)cc(Cl)c1C(=O)c1ccc(Cl)cc1,376.19900000000007,2.7670200000000005,1,4,84.82,3,3,25,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL6226,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1Cc1ccccc1,293.326,1.8200199999999997,1,3,67.75,3,3,22,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL415286,O=C(c1ccc(-n2ncc(=O)[nH]c2=O)cc1)c1cccs1,299.31100000000004,1.2133,1,5,84.82,3,3,21,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL415285,COc1cc2nc(N3CCN(S(=O)(=O)c4ccc(C)cc4)CC3)nc(N)c2cc1OC,443.5290000000003,2.04852,1,8,110.88,5,4,31,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL6218,COc1cc2nc(N3CCN(C(=O)Nc4ccccc4)CC3)nc(N)c2cc1OC,408.4620000000003,2.5833000000000004,2,7,105.84,4,4,30,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL267163,CNc1ncnc2c1ncn2Cc1c(F)cccc1F,275.262,2.1944999999999997,1,4,55.63,3,3,20,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL6817,CN(C)c1ncnc2c1ncn2Cc1c(F)cccc1F,289.289,2.2188,0,4,46.84,3,3,21,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL6787,CNc1ncnc2c1ncn2Cc1cc(F)ccc1F,275.262,2.1944999999999997,1,4,55.63,3,3,20,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL266930,Fc1ccccc1Cn1cnc2c(NC3CCCC3)ncnc21,311.36400000000003,3.3682000000000016,1,4,55.63,4,4,23,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL7057,CCN(C)c1ncnc2c1ncn2Cc1ccccc1F,285.326,2.4698,0,4,46.84,4,3,21,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL7132,C[C@@H](N)Cc1c2ccoc2c(C(F)(F)F)c2ccoc12.Cl,319.71,4.509300000000003,1,3,52.3,2,3,21,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL269046,CNc1ncnc2c1ncn2Cc1c(F)cccc1Cl,291.717,2.708800000000001,1,4,55.63,3,3,20,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL6991,Nc1nc(O)c2cc(Sc3ccc4ccccc4c3)ccc2n1,319.389,4.222000000000001,2,5,72.03,2,4,23,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL415,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,314.86,4.528400000000004,0,2,6.48,4,3,22,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL6644,COc1cccc2c1C[C@@H](CO)NC(=O)[C@H](C(C)C)N2C,292.379,1.1891999999999998,2,4,61.800000000000004,3,2,21,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL6723,CNc1ncnc2c1ncn2Cc1ccc(F)cc1F,275.262,2.1944999999999997,1,4,55.63,3,3,20,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL268787,CCN(CC)c1ncnc2c1ncn2Cc1ccccc1F,299.353,2.8599000000000014,0,4,46.84,5,3,22,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL268830,CN1CCCCC1CN1CCN(Cc2cccnc2)CC1,288.4390000000001,1.6834999999999996,0,4,22.61,4,3,21,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL6277,CN1CCCCC1CN1CCN(Cc2ccncc2)CC1,288.4390000000001,1.6834999999999996,0,4,22.61,4,3,21,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL6284,c1cc(CN2CCN(CC3CCCCN3)CC2)ccn1,274.4119999999999,1.3412999999999997,1,4,31.4,4,3,20,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL6283,c1cncc(CN2CCN(CC3CCCCN3)CC2)c1,274.412,1.3413,1,4,31.400000000000006,4,3,20,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL269496,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(O)c1ccc(Cl)cc1,343.7700000000001,1.9643199999999994,2,4,87.98,3,3,24,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL6272,O=C(c1ccc(Cl)cc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1,327.7270000000001,1.8051999999999992,1,4,84.82,3,3,23,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL6243,Cc1cc(C)c(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2)c(C)c1,335.3630000000001,2.0770599999999995,1,4,84.82,3,3,25,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL6240,O=C(c1ccccc1)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,327.7270000000001,1.8051999999999997,1,4,84.82,3,3,23,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
